City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Sao Caetano De Odivelas,BR,79.14,broken clouds,-0.75,-48.02,Hotel do Luttis
574,Hirara,JP,82.4,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
576,Tangjiazhuang,CN,75.2,overcast clouds,39.7333,118.45,Peace Hotel
577,Kikwit,CD,82.0,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
580,Banes,CU,89.4,few clouds,20.9625,-75.7186,Hostal Iván y yailet
581,Beisfjord,NO,77.05,overcast clouds,68.3751,17.5988,
585,Sao Luis De Montes Belos,BR,89.1,clear sky,-16.525,-50.3722,Hotel Farol
586,Lata,PT,84.04,clear sky,40.1629,-8.3327,Casa Maquia
587,Kutum,SD,77.9,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
591,Montalban,FR,79.59,scattered clouds,44.0167,1.35,Abbaye des Capucins Spa & Resort
594,Mazamet,FR,79.09,clear sky,43.49,2.373,La Villa de Mazamet
596,Benicarlo,ES,78.24,broken clouds,40.4165,0.4271,El Pinche De Oro
598,Dhanaura,IN,85.12,overcast clouds,28.9667,78.25,Pooja Sweets
599,Nagpur,IN,80.62,broken clouds,21.15,79.1,Hotel Siddhartha Inn
602,Laranjeiras Do Sul,BR,75.72,light rain,-25.4078,-52.4161,Hotel Palmeiras
603,Keighley,GB,78.31,few clouds,53.8679,-1.9066,Dalesgate Hotel
605,Tongliao,CN,75.16,overcast clouds,43.6125,122.2653,Meirujia Hotel
608,Touros,BR,85.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
609,Cugir,RO,80.33,broken clouds,45.8333,23.3667,Hotel Dragana Cugir
610,Catuday,PH,80.73,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
611,Tigzirt,DZ,77.22,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
613,Cedar City,US,75.18,few clouds,37.6775,-113.0619,Hampton Inn Cedar City
619,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
623,Bodden Town,KY,87.93,few clouds,19.2833,-81.25,Will T Place
625,Ternate,ID,80.82,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
627,Altrincham,GB,76.23,scattered clouds,53.3875,-2.3485,Premier Inn Manchester Altrincham hotel
628,Havelock,US,89.55,broken clouds,34.8791,-76.9013,Sherwood Motel
637,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
638,Knysna,ZA,75.58,broken clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
639,Kosjeric,RS,83.55,clear sky,43.9961,19.9069,Hotel Olympic
640,Bosaso,SO,89.67,broken clouds,11.2842,49.1816,Red Sea Hotel
642,Kozulka,UA,78.33,scattered clouds,50.0351,23.797,Charivni Ozera
644,Ferkessedougou,CI,82.74,broken clouds,9.6,-5.2,Hotel Chateau
648,Maneadero,MX,76.19,overcast clouds,31.7167,-116.5667,Casa De Thompson
649,Rosetta,EG,82.22,clear sky,31.4044,30.4164,Green Valley
653,Sinnamary,GF,82.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
655,Yaring,TH,78.94,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
657,Tonekabon,IR,82.35,clear sky,36.8163,50.8738,Hotel Sadra
659,Bastia,FR,81.73,clear sky,42.6667,9.3333,Hotel Santa Maria
662,Tondela,PT,82.58,clear sky,40.5167,-8.0833,Hotel SJ
664,Manga,BF,89.37,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
665,Fortuna,US,79.41,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
668,Khed Brahma,IN,78.28,overcast clouds,24.0333,73.05,UMIYA NASTA HOUSE
669,Warrington,GB,76.6,clear sky,53.3925,-2.5802,Patten Arms Hotel
670,Jining,CN,77.34,light rain,35.405,116.5814,Yunhe Star Hotel
671,Micheweni,TZ,75.34,few clouds,-4.9667,39.8333,
673,Key West,US,90.0,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
674,Kyaukse,MM,78.08,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
675,Shingu,JP,76.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
676,Kismayo,SO,75.99,broken clouds,-0.3582,42.5454,Agan-Hotel
678,Bhitarwar,IN,88.47,moderate rain,25.8,78.1167,H.G.Batham Home
679,Chichihualco,MX,77.88,broken clouds,17.6833,-99.65,Hotel Casa Blanca
680,Tamandare,BR,78.91,few clouds,-8.7597,-35.1047,Pousada 100 Passos
681,Ugoofaaru,MV,81.72,overcast clouds,5.6667,73.0,Ungoofaaru Inn
685,Uhlove,UA,80.56,few clouds,44.8215,33.6045,Tavryda
687,Riachao Das Neves,BR,88.39,scattered clouds,-11.7461,-44.91,Casa Costa
688,Garowe,SO,81.57,overcast clouds,8.4054,48.4845,Curubo Hotel
692,Bognor Regis,GB,76.53,broken clouds,50.7821,-0.6798,Royal Norfolk Hotel
693,Brcko,BA,88.14,broken clouds,44.8728,18.8083,Vila Bakarni
695,Rock Springs,US,83.05,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
696,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
703,Pailon,BO,89.28,clear sky,-17.65,-62.75,Alojamiento pailon
707,Biguacu,BR,83.84,broken clouds,-27.4942,-48.6556,Pousada & Café Catarina
708,Touba,CI,75.9,light rain,8.2833,-7.6833,Hotel de L'Amitié Vraie
712,Sanok,PL,79.56,scattered clouds,49.5557,22.2056,"""Jagielloński"" Hotel i Restauracja"
713,Peniche,PT,76.48,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
716,Mogadishu,SO,76.66,scattered clouds,2.0371,45.3438,Hotel Juba
718,Sicamous,CA,85.48,clear sky,50.8331,-118.9856,Best Western Sicamous Inn
723,Sabancuy,MX,87.17,overcast clouds,18.9667,-91.1833,pulpo
724,Kijang,KR,76.73,clear sky,35.2442,129.2139,Samyang Beach Villa
725,Namatanai,PG,78.21,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
730,Tabuk,PH,76.39,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
731,Coos Bay,US,80.85,haze,43.3665,-124.2179,Best Western Holiday Hotel
