City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sokna,NO,2021-07-24 00:20:51,60.24,9.9235,65.14,88,6,2.33
68,Souillac,MU,2021-07-24 00:20:52,-20.5167,57.5167,68.38,88,75,3.44
69,Ribeira Grande,PT,2021-07-24 00:20:52,38.5167,-28.7,71.28,95,100,6.76
70,Seoul,KR,2021-07-24 00:16:52,37.5683,126.9778,90.97,55,0,2.3
71,Matara,LK,2021-07-24 00:20:53,5.9485,80.5353,76.41,90,91,9.22
72,Kiama,AU,2021-07-24 00:19:39,-34.6833,150.8667,58.24,77,92,1.99
73,Xichang,CN,2021-07-24 00:20:54,27.8964,102.2634,68.22,90,100,0.83
74,Qaanaaq,GL,2021-07-24 00:18:44,77.484,-69.3632,41.43,65,30,3.4
75,Kivsharivka,UA,2021-07-24 00:20:55,49.6213,37.7036,60.01,70,0,4.41
76,Port Alfred,ZA,2021-07-24 00:20:55,-33.5906,26.891,52.03,69,96,4.76
77,Nzega,RW,2021-07-24 00:20:56,-2.479,29.5564,60.51,51,92,3.02
78,Tingo Maria,PE,2021-07-24 00:18:48,-9.2895,-76.0088,70.3,89,5,2.19
79,Kahului,US,2021-07-24 00:20:56,20.8947,-156.47,86.02,72,40,25.32
80,Airai,TL,2021-07-24 00:18:49,-8.9266,125.4092,68.58,26,41,3.29
81,Trairi,BR,2021-07-24 00:16:11,-3.2778,-39.2689,79.43,76,20,12.24
82,Ostrovnoy,RU,2021-07-24 00:20:58,68.0531,39.5131,43.77,94,100,24.58
83,Hilo,US,2021-07-24 00:18:42,19.7297,-155.09,89.28,84,90,12.66
84,Kaitangata,NZ,2021-07-24 00:20:58,-46.2817,169.8464,50.94,62,30,3.58
85,Barrow,US,2021-07-24 00:16:41,71.2906,-156.7887,39.22,87,90,19.57
86,Kadirli,TR,2021-07-24 00:20:59,37.3739,36.0961,78.01,75,26,3.11
87,Alofi,NU,2021-07-24 00:21:02,-19.0595,-169.9187,80.49,78,6,9.22
88,Iaciara,BR,2021-07-24 00:21:03,-14.0958,-46.6317,73.87,35,70,7.78
89,Pangody,RU,2021-07-24 00:21:03,65.85,74.4859,52.07,85,100,13.02
90,Dauriya,RU,2021-07-24 00:21:04,49.9333,116.8667,64.76,67,74,8.72
91,Touros,BR,2021-07-24 00:18:05,-5.1989,-35.4608,74.3,83,6,15.37
92,Aviles,ES,2021-07-24 00:17:23,43.5547,-5.9248,63.79,89,0,5.75
93,San Patricio,US,2021-07-24 00:21:05,28.017,-97.5169,90.32,59,0,16.78
94,Launceston,AU,2021-07-24 00:17:59,-41.45,147.1667,50.81,94,75,1.99
95,Wajima,JP,2021-07-24 00:21:05,37.4,136.9,84.88,74,75,3.44
96,Zlobin,HR,2021-07-24 00:21:07,45.2924,14.6541,63.7,73,0,2.3
97,Oyama,JP,2021-07-24 00:21:08,36.3,139.8,90.82,73,18,3.38
98,Anzio,IT,2021-07-24 00:21:09,41.4853,12.6179,76.73,93,0,6.55
99,Atuona,PF,2021-07-24 00:21:09,-9.8,-139.0333,77.45,76,36,11.07
100,Nemuro,JP,2021-07-24 00:21:10,43.3236,145.575,77.43,88,96,10.96
101,Tiksi,RU,2021-07-24 00:21:11,71.6872,128.8694,45.63,81,89,6.46
102,Mar Del Plata,AR,2021-07-24 00:21:14,-38.0023,-57.5575,52.12,60,75,4.0
103,Avarua,CK,2021-07-24 00:21:15,-21.2078,-159.775,78.85,65,2,13.8
104,Dong Hoi,VN,2021-07-24 00:18:20,17.4833,106.6,80.13,78,99,13.98
105,Maldonado,UY,2021-07-24 00:21:15,-34.6667,-54.9167,58.39,87,22,4.97
106,Hasaki,JP,2021-07-24 00:21:16,35.7333,140.8333,84.6,74,0,4.81
107,Saldanha,ZA,2021-07-24 00:17:43,-33.0117,17.9442,41.05,65,0,7.43
108,Ambulu,ID,2021-07-24 00:21:16,-8.345,113.6058,74.07,76,9,3.2
109,Kousseri,CM,2021-07-24 00:21:18,12.0769,15.0306,78.76,83,64,5.75
110,Russell,US,2021-07-24 00:21:18,32.3502,-85.1999,83.35,74,75,0.0
111,Hermanus,ZA,2021-07-24 00:19:24,-34.4187,19.2345,48.9,71,0,9.95
112,Cabo San Lucas,MX,2021-07-24 00:18:37,22.8909,-109.9124,99.52,48,1,11.5
113,Kyra,RU,2021-07-24 00:21:19,49.5776,111.9753,63.41,67,0,7.43
114,Yellowknife,CA,2021-07-24 00:17:14,62.456,-114.3525,73.92,53,75,16.11
115,Mochalishche,RU,2021-07-24 00:21:21,56.3306,48.3547,56.17,98,53,5.01
116,Diu,IN,2021-07-24 00:21:21,20.7141,70.9822,82.08,83,100,17.29
117,Longyearbyen,SJ,2021-07-24 00:21:22,78.2186,15.6401,44.44,87,75,5.75
118,Arraial Do Cabo,BR,2021-07-24 00:21:22,-22.9661,-42.0278,62.56,82,0,5.75
119,Srednekolymsk,RU,2021-07-24 00:18:43,67.45,153.6833,63.5,48,79,5.61
120,Port Elizabeth,ZA,2021-07-24 00:21:23,-33.918,25.5701,46.69,81,0,3.44
121,Ahipara,NZ,2021-07-24 00:18:01,-35.1667,173.1667,58.84,62,2,3.69
122,Kununurra,AU,2021-07-24 00:12:56,-15.7667,128.7333,69.78,73,52,3.44
123,Ponta Do Sol,PT,2021-07-24 00:21:25,32.6667,-17.1,70.72,76,4,6.62
124,Alekseyevsk,RU,2021-07-24 00:21:27,57.8406,108.3492,65.7,77,39,2.75
125,Saint Anthony,US,2021-07-24 00:21:27,45.0205,-93.218,90.55,62,1,4.0
126,Fauldhouse,GB,2021-07-24 00:21:28,55.8275,-3.7074,58.14,84,96,4.18
127,Upernavik,GL,2021-07-24 00:18:39,72.7868,-56.1549,39.51,94,100,9.51
