City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Zigong,CN,2021-07-26 17:45:02,29.3416,104.7769,76.33,89,2,4.5,light rain
60,Atuona,PF,2021-07-26 17:45:03,-9.8,-139.0333,77.52,70,55,25.08,broken clouds
61,Madera,US,2021-07-26 17:41:42,37.1666,-119.8343,97.86,26,92,3.0,overcast clouds
62,Salalah,OM,2021-07-26 17:45:09,17.0151,54.0924,78.89,89,75,4.61,broken clouds
63,Margate,GB,2021-07-26 17:43:38,51.3813,1.3862,73.85,76,67,4.0,broken clouds
64,Ilulissat,GL,2021-07-26 17:45:14,69.2167,-51.1,48.22,61,75,3.44,light rain
65,Tandil,AR,2021-07-26 17:45:15,-37.3217,-59.1332,54.1,30,22,10.0,few clouds
66,Guerrero Negro,MX,2021-07-26 17:40:26,27.9769,-114.0611,77.18,57,1,8.34,clear sky
67,Castro,BR,2021-07-26 17:45:20,-24.7911,-50.0119,72.18,42,7,8.77,clear sky
68,Hobart,AU,2021-07-26 17:45:20,-42.8794,147.3294,53.46,84,90,3.0,light intensity shower rain
69,Makakilo City,US,2021-07-26 17:45:21,21.3469,-158.0858,77.68,70,1,0.0,clear sky
70,Brigham City,US,2021-07-26 17:45:21,41.5102,-112.0155,94.48,15,1,0.0,clear sky
71,Vaini,TO,2021-07-26 17:45:22,-21.2,-175.2,75.45,77,77,9.53,light rain
72,Barrow,US,2021-07-26 17:45:22,71.2906,-156.7887,41.02,98,90,11.5,light rain
73,Avarua,CK,2021-07-26 17:45:23,-21.2078,-159.775,73.45,94,75,4.61,light rain
74,Port-Cartier,CA,2021-07-26 17:45:23,50.0334,-66.8654,69.93,76,95,7.74,overcast clouds
75,Krasnoselkup,RU,2021-07-26 17:45:24,65.7,82.4667,56.53,96,100,15.28,moderate rain
76,Paracuru,BR,2021-07-26 17:40:29,-3.41,-39.0306,87.82,58,5,17.94,clear sky
77,Provideniya,RU,2021-07-26 17:45:24,64.3833,-173.3,48.11,99,100,3.04,overcast clouds
78,Tuktoyaktuk,CA,2021-07-26 17:45:18,69.4541,-133.0374,46.4,81,90,9.22,overcast clouds
79,Flinders,AU,2021-07-26 17:43:04,-34.5833,150.8552,58.37,64,97,4.0,overcast clouds
80,New Norfolk,AU,2021-07-26 17:45:26,-42.7826,147.0587,53.1,81,98,3.0,light rain
81,Chokurdakh,RU,2021-07-26 17:45:27,70.6333,147.9167,35.62,88,81,11.54,broken clouds
82,Ahipara,NZ,2021-07-26 17:45:27,-35.1667,173.1667,55.29,83,22,18.84,few clouds
83,Tautira,PF,2021-07-26 17:45:28,-17.7333,-149.15,77.02,77,42,7.25,scattered clouds
84,Itaituba,BR,2021-07-26 17:45:28,-4.2761,-55.9836,95.16,49,40,9.22,scattered clouds
85,Port Hardy,CA,2021-07-26 17:45:29,50.6996,-127.4199,60.98,88,75,3.44,light rain
86,Aitape,PG,2021-07-26 17:45:29,-3.1374,142.3475,76.51,88,12,3.27,few clouds
87,Severnoye,RU,2021-07-26 17:45:30,56.3491,78.3619,54.37,64,24,12.82,few clouds
88,Gigant,RU,2021-07-26 17:45:30,46.5066,41.3419,83.64,31,80,7.54,broken clouds
89,Oberndorf,DE,2021-07-26 17:45:31,48.2905,8.5722,69.39,91,86,4.79,overcast clouds
90,Mareeba,AU,2021-07-26 17:45:32,-17.0,145.4333,65.12,88,96,2.44,overcast clouds
91,Oktyabrskiy,RU,2021-07-26 17:45:32,54.4815,53.471,62.65,49,59,3.98,broken clouds
92,Busselton,AU,2021-07-26 17:45:36,-33.65,115.3333,56.08,68,55,32.73,broken clouds
93,Salinas,US,2021-07-26 17:44:56,36.6777,-121.6555,74.21,80,90,4.61,haze
94,Mar Del Plata,AR,2021-07-26 17:45:00,-38.0023,-57.5575,54.09,60,40,7.0,scattered clouds
95,Labuan,MY,2021-07-26 17:45:37,5.2767,115.2417,80.96,89,20,1.14,few clouds
96,Alofi,NU,2021-07-26 17:42:08,-19.0595,-169.9187,69.69,100,40,3.44,scattered clouds
97,Antalaha,MG,2021-07-26 17:45:38,-14.9003,50.2788,68.63,83,100,9.22,overcast clouds
98,Pamekasan,ID,2021-07-26 17:45:39,-7.1568,113.4746,75.47,75,4,7.74,clear sky
99,Rawson,AR,2021-07-26 17:41:17,-43.3002,-65.1023,46.76,40,11,29.57,few clouds
100,Hithadhoo,MV,2021-07-26 17:45:39,-0.6,73.0833,81.18,78,65,9.17,broken clouds
101,Labuhan,ID,2021-07-26 17:45:40,-6.8844,112.2051,73.04,85,0,7.61,clear sky
102,Vaitape,PF,2021-07-26 17:45:40,-16.5167,-151.75,78.58,72,54,13.51,broken clouds
103,Sitka,US,2021-07-26 17:45:41,57.0531,-135.33,55.29,82,20,4.61,few clouds
104,Flin Flon,CA,2021-07-26 17:45:43,54.7682,-101.865,66.04,55,75,6.91,broken clouds
105,Safford,US,2021-07-26 17:45:44,32.834,-109.7076,83.07,69,1,3.44,clear sky
106,Nouakchott,MR,2021-07-26 17:45:44,18.0858,-15.9785,78.73,77,65,17.63,broken clouds
107,Tuatapere,NZ,2021-07-26 17:42:21,-46.1333,167.6833,42.82,90,63,4.7,broken clouds
108,Hofn,IS,2021-07-26 17:45:45,64.2539,-15.2082,53.62,76,75,9.22,broken clouds
109,Souillac,MU,2021-07-26 17:45:46,-20.5167,57.5167,68.38,94,40,9.22,light rain
110,Lasa,IT,2021-07-26 17:45:46,46.6166,10.7002,70.02,84,65,2.42,broken clouds
111,Tsaratanana,MG,2021-07-26 17:45:47,-16.7833,47.65,64.47,68,1,10.98,clear sky
112,Sirsa,IN,2021-07-26 17:45:47,29.5333,75.0167,87.31,71,99,10.58,overcast clouds
113,Padang,ID,2021-07-26 17:41:39,-0.9492,100.3543,77.59,89,87,3.49,overcast clouds
114,Madang,PG,2021-07-26 17:45:48,-5.2246,145.7966,77.25,90,59,3.6,broken clouds
115,Victoria,HK,2021-07-26 17:42:43,22.2855,114.1577,88.32,86,98,1.01,overcast clouds
116,Severo-Kurilsk,RU,2021-07-26 17:45:49,50.6789,156.125,56.21,94,88,7.05,overcast clouds
117,Walvis Bay,NA,2021-07-26 17:45:50,-22.9575,14.5053,85.15,18,0,2.3,clear sky
118,Thyolo,MW,2021-07-26 17:45:51,-16.0678,35.1405,53.67,92,81,4.94,light rain
